Scheme Code;ISIN Div Payout/ ISIN Growth;ISIN Div Reinvestment;Scheme Name;Net Asset Value;Date
 
Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
 
Aditya Birla Sun Life Mutual Fund
 
119551;INF209KA12Z1;INF209KA13Z9;Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct Plan-Dividend;161.3775;08-Jan-2021
119552;INF209K01YM2;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan-Monthly Dividend;115.9422;08-Jan-2021
119553;INF209K01YO8;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan-Quarterly Dividend;113.329;08-Jan-2021
108272;INF209K01LX6;INF209KA11Z3;Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Dividend;168.5184;08-Jan-2021
108273;INF209K01LV0;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth;284.4651;08-Jan-2021
110282;INF209K01LU2;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Monthly Dividend;113.5431;08-Jan-2021
108274;INF209K01LN7;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Quarterly Dividend;111.087;08-Jan-2021
103176;INF209K01LT4;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth;427.0178;08-Jan-2021
110490;INF209K01LR8;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Monthly Dividend;113.3983;08-Jan-2021
106157;INF209K01LS6;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Quarterly Dividend;113.9124;08-Jan-2021
119550;INF209K01YN0;-;Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth;290.7549;08-Jan-2021
 
Axis Mutual Fund
 
128952;INF846K01NF8;-;Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option;1532.8272;14-Jun-2017
120437;-;INF846K01CU0;Axis Banking & PSU Debt Fund - Direct Plan - Daily Dividend Option;1039.1310;08-Jan-2021
120438;INF846K01CR6;-;Axis Banking & PSU Debt Fund - Direct Plan - Growth Option;2092.6767;08-Jan-2021
120439;INF846K01CT2;INF846K01CS4;Axis Banking & PSU Debt Fund - Direct Plan - Monthly Dividend Option;1036.0988;08-Jan-2021
120436;INF846K01CV8;INF846K01CW6;Axis Banking & PSU Debt Fund - Direct Plan - Weekly Dividend Option;1039.4986;08-Jan-2021
128953;INF846K01NG6;-;Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option;1289.4075;18-May-2015
117447;-;INF846K01CC8;Axis Banking & PSU Debt Fund - Regular Plan - Daily Dividend Option;1039.1303;08-Jan-2021
117446;INF846K01CB0;-;Axis Banking & PSU Debt Fund - Regular Plan - Growth option;2055.8143;08-Jan-2021
117449;INF846K01CF1;INF846K01CG9;Axis Banking & PSU Debt Fund - Regular Plan - Monthly Dividend Option;1035.9934;08-Jan-2021
117448;INF846K01CD6;INF846K01CE4;Axis Banking & PSU Debt Fund - Regular Plan - Weekly Dividend option;1039.4600;08-Jan-2021
 
Baroda Mutual Fund
 
148629;INF955L01KF1;INF955L01KG9;Baroda Banking and PSU Bond Fund -Direct Plan-Monthly Dividend Option;10.0559;08-Jan-2021
148628;INF955L01KC8;-;Baroda Banking and PSU Bond Fund- Direct Plan -Growth Option;10.0559;08-Jan-2021
148630;INF955L01KD6;INF955L01KE4;Baroda Banking and PSU Bond Fund-Direct plan-Quarterly Dividend Option;10.0559;08-Jan-2021
148625;INF955L01JX6;-;Baroda Banking and PSU Bond Fund-Regular Plan -Growth Option;10.0530;08-Jan-2021
148626;INF955L01KA2;INF955L01KB0;Baroda Banking and PSU Bond Fund-Regular Plan -Monthly Dividend Option;10.0530;08-Jan-2021
148627;INF955L01JY4;INF955L01JZ1;Baroda Banking and PSU Bond Fund-Regular Plan-Quarterly Dividend Option;10.0530;08-Jan-2021
 
DSP Mutual Fund
 
124182;-;INF740KA1OF7;DSP Banking & PSU Debt Fund - Direct Plan - Daily Dividend Reinvest;10.1600;08-Jan-2021
124178;INF740K01A18;INF740K01A26;DSP Banking & PSU Debt Fund - Direct Plan - Dividend Payout & Reinvest;11.4054;08-Jan-2021
124175;INF740K01ZW2;-;DSP Banking & PSU Debt Fund - Direct Plan - Growth;19.2059;08-Jan-2021
124176;INF740K01ZX0;INF740K01ZY8;DSP Banking & PSU Debt Fund - Direct Plan - Monthly Dividend Payout & Reinvest;10.1971;08-Jan-2021
124177;INF740K01ZZ5;INF740K01A00;DSP Banking & PSU Debt Fund - Direct Plan - Quarterly Dividend Payout & Reinvest;10.2084;08-Jan-2021
124183;INF740KA1OG5;INF740KA1OH3;DSP Banking & PSU Debt Fund - Direct Plan - Weekly Dividend Payout & Reinvest;10.1647;08-Jan-2021
124173;-;INF740KA1OI1;DSP Banking & PSU Debt Fund - Regular Plan - Daily Dividend Reinvest;10.1600;08-Jan-2021
124174;INF740K01ZU6;INF740K01ZV4;DSP Banking & PSU Debt Fund - Regular Plan - Dividend Payout & Reinvest;11.3810;08-Jan-2021
124172;INF740K01ZP6;-;DSP Banking & PSU Debt Fund - Regular Plan - Growth;18.7661;08-Jan-2021
124180;INF740K01ZQ4;INF740K01ZR2;DSP Banking & PSU Debt Fund - Regular Plan - Monthly Dividend Payout & Reinvest;10.2442;08-Jan-2021
124181;INF740K01ZS0;INF740K01ZT8;DSP Banking & PSU Debt Fund - Regular Plan - Quarterly Dividend Payout & Reinvest;10.2069;08-Jan-2021
124179;INF740KA1OJ9;INF740KA1OK7;DSP Banking & PSU Debt Fund - Regular Plan - Weekly Dividend Payout & Reinvest;10.1646;08-Jan-2021
